bucket,deviceid,datatype,e,f,ap,ca,cb,cc,pf,rp,va,vb,vc
2025-03-20T08:30:00.000Z,METER-001,TCMData,10012.014041,50.038,3333.89,15.09,14.643,15.086,0.9896,485.779,224.743,229.163,222.631
2025-03-20T08:30:00.000Z,METER-002,TCMData,5006.277438,50.047,1867.353,9.147,8.285,8.465,0.9394,681.533,233.698,227.871,229.276
2025-03-20T08:45:00.000Z,METER-001,TCMData,10012.709274,50.034,2780.931,12.522,12.842,12.417,0.9784,587.582,224.945,229.412,222.745
2025-03-20T08:45:00.000Z,METER-002,TCMData,5006.67527,50.038,1591.326,7.116,7.12,7.14,0.9692,404.155,234.469,228.687,228.122
2025-03-20T09:00:00.000Z,METER-001,TCMData,10013.480739,50.002,3085.859,14.753,14.604,14.417,0.9367,1153,224.491,229.537,223.281
2025-03-20T09:00:00.000Z,METER-002,TCMData,5007.157089,50.031,1927.274,8.579,8.383,8.51,0.987,313.905,234.508,228.076,227.368
2025-03-20T09:15:00.000Z,METER-001,TCMData,10014.254811,49.965,3096.286,14.224,14.142,14.099,0.9689,790.861,225.036,229.784,222.482
2025-03-20T09:15:00.000Z,METER-002,TCMData,5007.628708,50.004,1886.475,8.84,8.337,8.407,0.963,528.187,234.844,227.184,227.122
2025-03-20T09:30:00.000Z,METER-001,TCMData,10015.268978,50.009,4056.669,18.03,18.567,17.969,0.9853,704.14,225.637,230.805,222.666
2025-03-20T09:30:00.000Z,METER-002,TCMData,5008.124921,50.053,1984.85,9.068,8.71,9.086,0.9651,538.51,235.416,226.619,226.977
2025-03-20T09:45:00.000Z,METER-001,TCMData,10016.141779,49.977,3491.204,15.411,15.666,15.895,0.9855,600.715,226.151,231.007,221.596
2025-03-20T09:45:00.000Z,METER-002,TCMData,5008.439785,49.945,1259.457,4.962,5.908,5.772,0.9886,191.76,236.035,226.116,226.826
2025-03-20T10:00:00.000Z,METER-001,TCMData,10016.83735,49.959,2782.283,13.212,12.745,12.971,0.9483,931.589,225.303,231.839,221.223
2025-03-20T10:00:00.000Z,METER-002,TCMData,5008.818996,50.009,1516.845,7.074,7.333,6.727,0.9369,566.077,236.741,225.043,227.697
2025-03-20T10:15:00.000Z,METER-001,TCMData,10017.672428,50.02,3340.311,15.2,15.614,14.957,0.9689,852.397,225.952,230.865,221.044
2025-03-20T10:15:00.000Z,METER-002,TCMData,5009.314051,49.992,1980.218,9.338,8.836,9.187,0.9443,689.787,236.782,226.197,226.765
2025-03-20T10:30:00.000Z,METER-001,TCMData,10018.418173,49.954,2982.979,13.533,13.941,14.277,0.9498,982.679,226.59,230.529,219.896
2025-03-20T10:30:00.000Z,METER-002,TCMData,5009.636197,50.053,1288.584,5.96,5.817,5.497,0.974,299.938,236.755,226.49,226.044
2025-03-20T10:45:00.000Z,METER-001,TCMData,10019.348004,49.944,3719.324,17.056,17.423,16.982,0.9589,1100.543,227.249,231.708,219.391
2025-03-20T10:45:00.000Z,METER-002,TCMData,5009.970462,50.027,1337.058,6.438,5.894,6.457,0.9285,534.895,237.81,226.13,225.871
2025-03-20T11:00:00.000Z,METER-001,TCMData,10020.118092,49.965,3080.353,14.481,14.539,14.313,0.943,1086.938,226.312,231.613,220.507
2025-03-20T11:00:00.000Z,METER-002,TCMData,5010.295768,50.031,1301.223,5.611,7.007,5.803,0.9247,535.805,237.184,225.547,224.783
2025-03-20T11:15:00.000Z,METER-001,TCMData,10020.895799,50.055,3110.828,13.794,14.382,14.746,0.9584,926.931,226.737,232.515,221.384
2025-03-20T11:15:00.000Z,METER-002,TCMData,5010.658906,49.949,1452.553,6.86,6.742,6.981,0.9255,594.286,236.607,224.737,224.872
2025-03-20T11:30:00.000Z,METER-001,TCMData,10021.495819,49.957,2400.08,11.118,10.513,10.733,0.9801,486.51,226.788,233.384,220.831
2025-03-20T11:30:00.000Z,METER-002,TCMData,5011.015902,49.979,1427.985,7.12,7.462,7.394,0.8514,879.754,236.662,224.339,225.877
2025-03-20T11:45:00.000Z,METER-001,TCMData,10022.426585,49.98,3723.065,17.248,17.464,17.501,0.9401,1350.126,227.086,233.858,221.704
2025-03-20T11:45:00.000Z,METER-002,TCMData,5011.469953,49.953,1816.205,8.381,8.057,7.95,0.9752,412.506,237.118,224.771,225.421
2025-03-20T12:00:00.000Z,METER-001,TCMData,10023.212477,49.953,3143.57,14.109,14.881,14.904,0.9428,1111.258,228.206,234.403,221.044
2025-03-20T12:00:00.000Z,METER-002,TCMData,5011.913862,49.968,1775.634,8.385,8.205,8.215,0.938,656.435,236.303,224.409,226.163
2025-03-20T12:15:00.000Z,METER-001,TCMData,10024.100061,49.996,3550.338,16.111,16.795,16.302,0.9466,1208.963,229.405,234.522,222.036
2025-03-20T12:15:00.000Z,METER-002,TCMData,5012.314589,50.012,1602.907,7.675,7.556,7.428,0.9278,644.552,236.168,223.893,226.142
2025-03-20T12:30:00.000Z,METER-001,TCMData,10024.958612,50.054,3434.203,15.711,15.514,15.388,0.9666,911.002,228.937,234.971,222.102
2025-03-20T12:30:00.000Z,METER-002,TCMData,5012.629141,50.03,1258.208,5.978,5.475,5.456,0.9781,267.741,236.601,223.137,224.958
2025-03-20T12:45:00.000Z,METER-001,TCMData,10025.657513,50.047,2795.605,13.386,13.464,12.969,0.9236,1160.69,228.538,234.069,221.568
2025-03-20T12:45:00.000Z,METER-002,TCMData,5013.105964,49.942,1907.29,8.853,9.383,8.958,0.9209,807.035,237.708,223.131,224.567
2025-03-20T13:00:00.000Z,METER-001,TCMData,10026.608734,50.004,3804.885,17.378,17.049,16.956,0.9727,907.511,227.75,234.762,222.632
2025-03-20T13:00:00.000Z,METER-002,TCMData,5013.434421,50.021,1313.827,5.774,6.135,5.577,0.9849,230.989,238.274,224.004,224.3
2025-03-20T13:15:00.000Z,METER-001,TCMData,10027.564728,50.012,3823.978,17.801,17.875,18.101,0.9369,1427.079,227.231,233.962,221.896
2025-03-20T13:15:00.000Z,METER-002,TCMData,5013.890812,50.012,1825.565,8.473,8.118,8.152,0.9688,467.227,237.542,224.395,223.511
2025-03-20T13:30:00.000Z,METER-001,TCMData,10028.2857,49.977,2883.886,13.962,11.179,13.801,0.9773,624.83,226.558,232.957,222.444
2025-03-20T13:30:00.000Z,METER-002,TCMData,5014.372331,49.942,1926.078,8.453,8.434,9.131,0.9714,470.634,237.911,224.323,223.643
2025-03-20T13:45:00.000Z,METER-001,TCMData,10028.981119,50.043,2781.677,14.124,12.099,11.61,0.9705,691.286,226.316,232.683,222.854
2025-03-20T13:45:00.000Z,METER-002,TCMData,5014.746122,50.036,1495.164,7.296,7.25,6.738,0.9244,617.059,237.125,224.129,222.714
2025-03-20T14:00:00.000Z,METER-001,TCMData,10029.813025,50.057,3327.624,16.597,14.859,16.124,0.9207,1410.925,226.75,233.619,223.32
2025-03-20T14:00:00.000Z,METER-002,TCMData,5015.271967,50.009,2103.38,9.589,9.419,9.595,0.9687,539.392,236.949,224.51,221.786
2025-03-20T14:15:00.000Z,METER-001,TCMData,10030.621152,49.971,3232.507,15.466,14.758,14.994,0.9392,1181.733,226.798,233.783,224.452
2025-03-20T14:15:00.000Z,METER-002,TCMData,5015.626577,50.059,1418.441,6.52,5.977,6.628,0.9771,308.64,237.126,225.185,220.788
2025-03-20T14:30:00.000Z,METER-001,TCMData,10031.571649,50.004,3801.989,18.125,17.518,18.16,0.9283,1523.327,227.759,233.922,223.451
2025-03-20T14:30:00.000Z,METER-002,TCMData,5015.927473,50,1203.585,5.218,5.395,5.461,0.9862,202.043,237.423,224.848,221.065
2025-03-20T14:45:00.000Z,METER-001,TCMData,10032.228022,49.977,2625.494,12.718,12.375,12.05,0.9272,1060.593,227.954,233.661,224.502
2025-03-20T14:45:00.000Z,METER-002,TCMData,5016.339813,49.977,1649.362,7.568,7.227,7.26,0.9847,292.167,237.459,225.231,220.819
2025-03-20T15:00:00.000Z,METER-001,TCMData,10032.924434,50.039,2785.65,12.046,12.355,12.58,0.9898,400.527,228.029,233.422,223.458
2025-03-20T15:00:00.000Z,METER-002,TCMData,5016.752912,50.015,1652.398,7.334,7.258,7.512,0.9843,296.27,237.479,224.275,221.77
2025-03-20T15:15:00.000Z,METER-001,TCMData,10033.754291,50.012,3319.426,15.584,15.158,14.943,0.9559,1019.788,227.831,233.793,222.462
2025-03-20T15:15:00.000Z,METER-002,TCMData,5017.231967,50.04,1916.219,8.774,9.226,8.821,0.9394,699.145,236.906,224.814,222.76
2025-03-20T15:30:00.000Z,METER-001,TCMData,10034.395066,49.955,2563.102,11.549,11.848,11.808,0.9587,760.252,227.479,234.202,221.774
2025-03-20T15:30:00.000Z,METER-002,TCMData,5017.714476,50.014,1930.035,9.269,8.806,9.204,0.9322,749.209,236.023,223.951,223.064
2025-03-20T15:45:00.000Z,METER-001,TCMData,10035.294663,49.959,3598.387,17.245,16.928,16.563,0.9352,1362.901,226.284,234.793,221.481
2025-03-20T15:45:00.000Z,METER-002,TCMData,5018.152011,49.971,1750.139,7.969,8.019,7.653,0.9736,410.024,236.853,224.158,223.291
2025-03-20T16:00:00.000Z,METER-001,TCMData,10035.8876,49.963,2371.748,10.945,10.55,10.789,0.9711,583.38,225.734,234.795,220.378
2025-03-20T16:00:00.000Z,METER-002,TCMData,5018.534018,50.034,1528.026,6.829,6.624,6.92,0.9856,262.225,236.726,225.206,222.974
2025-03-20T16:15:00.000Z,METER-001,TCMData,10036.874426,50.009,3947.303,18.359,17.858,18.456,0.9558,1213.824,224.752,234.161,220.891
2025-03-20T16:15:00.000Z,METER-002,TCMData,5018.886123,50.002,1408.42,6.26,6.392,6.919,0.9458,483.798,236.427,225.268,223.117
2025-03-20T16:30:00.000Z,METER-001,TCMData,10037.579324,49.947,2819.59,13.607,13.654,13.088,0.9243,1163.968,224.898,234.741,220.76
2025-03-20T16:30:00.000Z,METER-002,TCMData,5019.346375,49.955,1841.007,8.943,8.25,8.927,0.9292,732.142,235.761,224.54,222.359
2025-03-20T16:45:00.000Z,METER-001,TCMData,10038.482079,49.972,3611.021,16.582,16.247,16.737,0.9627,1014.578,225.528,234.012,221.513
2025-03-20T16:45:00.000Z,METER-002,TCMData,5019.654386,49.962,1232.045,5.883,6.029,5.677,0.9262,501.533,235.071,224.381,221.186
2025-03-20T17:00:00.000Z,METER-001,TCMData,10039.485723,50.03,4014.576,18.012,17.852,18.139,0.9822,768.356,224.834,234.444,221.924
2025-03-20T17:00:00.000Z,METER-002,TCMData,5020.087642,50.034,1733.022,8.033,7.902,7.712,0.9692,440.12,234.685,225.016,220.814
2025-03-20T17:15:00.000Z,METER-001,TCMData,10040.268545,49.977,3131.289,14.981,14.404,14.459,0.9448,1086.199,224.118,234.824,221.398
2025-03-20T17:15:00.000Z,METER-002,TCMData,5020.437044,50.055,1397.606,6.109,5.945,6.623,0.9877,221.447,235.629,225.383,220.872
2025-03-20T17:30:00.000Z,METER-001,TCMData,10041.222145,50.028,3814.398,17.857,18.186,18.25,0.9267,1546.676,224.84,235.814,221.645
2025-03-20T17:30:00.000Z,METER-002,TCMData,5020.786517,49.996,1397.892,6.26,6.681,6.42,0.9551,433.716,235.955,224.385,220.054
2025-03-20T17:45:00.000Z,METER-001,TCMData,10041.925037,50.012,2811.57,13.502,12.655,12.707,0.9557,865.438,223.883,236.682,220.677
2025-03-20T17:45:00.000Z,METER-002,TCMData,5021.083572,49.972,1188.219,6.018,5.776,5.267,0.9222,498.117,236.795,223.968,218.897
2025-03-20T18:00:00.000Z,METER-001,TCMData,10042.780193,49.949,3420.623,15.395,14.847,15.467,0.9871,554.271,223.269,237.523,221.502
2025-03-20T18:00:00.000Z,METER-002,TCMData,5021.397119,50.05,1254.187,5.899,5.943,6.167,0.9229,523.133,237.256,223.881,218
2025-03-20T18:15:00.000Z,METER-001,TCMData,10043.736894,49.957,3826.802,17.704,17.482,17.427,0.9594,1124.428,223.792,236.397,222.098
2025-03-20T18:15:00.000Z,METER-002,TCMData,5021.762016,50.056,1459.587,7.256,6.671,6.593,0.9421,519.577,238.23,223.28,218
2025-03-20T18:30:00.000Z,METER-001,TCMData,10044.617994,50.019,3524.399,16.521,16.105,16.492,0.9482,1181.21,223.251,236.705,221.133
2025-03-20T18:30:00.000Z,METER-002,TCMData,5022.195367,50.035,1733.405,8.272,8.419,8.159,0.9242,716.315,238.73,222.561,218
2025-03-20T18:45:00.000Z,METER-001,TCMData,10045.320944,49.949,2811.8,13.407,13.534,13.299,0.9263,1143.959,222.728,235.731,220.478
2025-03-20T18:45:00.000Z,METER-002,TCMData,5022.637526,50.022,1768.635,7.816,8.403,8.93,0.9331,681.728,238.301,222.032,218
2025-03-20T19:00:00.000Z,METER-001,TCMData,10045.775758,50.038,1819.257,8.957,8.723,8.314,0.9296,721.192,222.92,235.32,219.309
2025-03-20T19:00:00.000Z,METER-002,TCMData,5022.916689,50.036,1116.651,5.462,5.065,5.261,0.9352,423.003,239.359,222.449,218.886
2025-03-20T19:15:00.000Z,METER-001,TCMData,10046.377624,50.013,2407.466,11.321,10.989,11.022,0.9607,695.587,223.812,234.266,218.558
2025-03-20T19:15:00.000Z,METER-002,TCMData,5023.25231,50.024,1342.483,5.73,5.818,6.48,0.983,250.772,239.624,222.933,219.255
2025-03-20T19:30:00.000Z,METER-001,TCMData,10046.869703,49.976,1968.316,9.043,9.244,9.559,0.9421,700.369,223.787,233.484,218
2025-03-20T19:30:00.000Z,METER-002,TCMData,5023.514921,49.991,1050.444,4.616,4.663,4.904,0.9789,219.416,239.41,221.995,219.591
2025-03-20T19:45:00.000Z,METER-001,TCMData,10047.341026,50.039,1885.293,8.607,8.392,8.361,0.9882,292.03,224.315,233.585,219.143
2025-03-20T19:45:00.000Z,METER-002,TCMData,5023.736102,49.983,884.723,4.085,4.332,4.27,0.9221,371.157,239.224,222.42,219.011
2025-03-20T20:00:00.000Z,METER-001,TCMData,10047.949399,49.97,2433.49,11.56,11.076,11.275,0.9525,778.056,224.829,233.919,219.317
2025-03-20T20:00:00.000Z,METER-002,TCMData,5024.017556,49.988,1125.816,5.286,5.579,5.009,0.9414,403.211,238.043,221.97,218
2025-03-20T20:15:00.000Z,METER-001,TCMData,10048.432824,49.952,1933.699,8.59,8.988,8.554,0.9826,365.596,224.719,234.274,218.805
2025-03-20T20:15:00.000Z,METER-002,TCMData,5024.255397,50.002,951.365,4.257,4.681,4.224,0.958,284.686,238.192,221.872,218.958
2025-03-20T20:30:00.000Z,METER-001,TCMData,10048.890676,50.057,1831.408,8.382,8.106,8.333,0.9803,368.995,225.244,234.029,218.132
2025-03-20T20:30:00.000Z,METER-002,TCMData,5024.544268,49.973,1155.483,5.688,5.1,5.053,0.9652,313.008,239.355,221.342,219.408
2025-03-20T20:45:00.000Z,METER-001,TCMData,10049.504972,50.056,2457.182,11.222,11.132,11.355,0.9683,633.967,225.134,233.455,218.959
2025-03-20T20:45:00.000Z,METER-002,TCMData,5024.86652,50.008,1289.007,5.486,6.439,5.608,0.9754,291.397,238.529,221.602,218.254
2025-03-20T21:00:00.000Z,METER-001,TCMData,10050.008121,49.997,2012.595,8.864,9.198,9.471,0.9669,530.704,226.188,234.376,219.792
2025-03-20T21:00:00.000Z,METER-002,TCMData,5025.137091,50.035,1082.284,4.816,4.99,5.1,0.9626,304.624,238.603,222.279,218
2025-03-20T21:15:00.000Z,METER-001,TCMData,10050.494757,50.024,1946.545,9.491,8.799,8.956,0.9427,688.645,226.442,234.897,220.703
2025-03-20T21:15:00.000Z,METER-002,TCMData,5025.376321,49.98,956.922,4.411,4.018,4.513,0.9806,191.255,238.205,222.408,218
2025-03-20T21:30:00.000Z,METER-001,TCMData,10051.1638,49.965,2676.171,12.554,11.858,12.286,0.9658,718.507,225.626,234.134,219.803
2025-03-20T21:30:00.000Z,METER-002,TCMData,5025.621371,50.02,980.198,4.245,4.537,4.647,0.9681,253.582,238.84,221.742,218
2025-03-20T21:45:00.000Z,METER-001,TCMData,10051.82964,50.027,2663.36,12.115,11.244,12.41,0.985,467.198,225.507,234.974,219.884
2025-03-20T21:45:00.000Z,METER-002,TCMData,5025.938067,50.031,1266.783,5.584,5.991,5.739,0.9716,308.394,238.365,221.339,218
2025-03-20T22:00:00.000Z,METER-001,TCMData,10052.259763,49.988,1720.492,8.039,7.534,8.267,0.957,521.73,225.896,233.951,218.87
2025-03-20T22:00:00.000Z,METER-002,TCMData,5026.227354,49.949,1157.149,5.717,5.29,5.399,0.9346,440.485,238.487,221.748,218.989
2025-03-20T22:15:00.000Z,METER-001,TCMData,10052.729581,49.983,1879.273,9.034,8.98,8.486,0.9381,694.001,225.994,235.059,219.311
2025-03-20T22:15:00.000Z,METER-002,TCMData,5026.48592,49.977,1034.266,4.811,4.814,4.822,0.9516,334.197,237.774,220.634,218.708
2025-03-20T22:30:00.000Z,METER-001,TCMData,10053.345212,50.041,2462.523,11.19,11.778,11.211,0.9503,806.719,225.967,235.946,220.429
2025-03-20T22:30:00.000Z,METER-002,TCMData,5026.757687,50.032,1087.068,5.304,5.293,4.974,0.9273,438.951,238.45,220.727,218.456
2025-03-20T22:45:00.000Z,METER-001,TCMData,10053.979716,49.966,2538.015,11.398,11.348,11.211,0.987,412.87,225.712,236.553,219.246
2025-03-20T22:45:00.000Z,METER-002,TCMData,5027.073659,49.964,1263.887,6.365,5.941,5.538,0.9409,454.78,238.085,221.243,218.121
2025-03-20T23:00:00.000Z,METER-001,TCMData,10054.226899,50.04,988.733,4.338,4.711,4.523,0.9632,275.819,226.641,235.827,218.261
2025-03-20T23:00:00.000Z,METER-002,TCMData,5027.202894,50.054,516.941,2.495,2.775,2.02,0.9409,186.011,239.218,220.98,218
